7094 5896
34 10 1
34 19 1
34 29 1
34 42 1
35 90 1
35 97 1
35 98 1
35 99 1
35 100 1
36 10 1
36 101 1
36 102 1
37 25 1
37 103 1
37 104 1
38 22 1
38 30 1
38 39 2
38 42 2
38 48 1
38 55 2
38 69 1
38 75 1
38 91 1
38 105 2
38 106 1
38 107 1
38 108 1
38 109 1
39 10 3
39 27 1
39 43 3
39 44 1
39 48 1
39 52 1
39 64 1
39 67 11
39 70 9
39 75 1
39 76 1
39 110 1
39 111 1
39 112 2
39 113 3
39 114 1
39 115 1
39 116 1
39 117 2
39 118 2
39 119 1
39 120 1
39 121 1
39 122 1
39 123 1
39 124 1
39 125 1
39 126 1
39 127 3
39 128 3
39 129 2
39 130 1
39 131 2
39 132 1
39 133 1
39 134 1
39 135 1
39 136 1
39 137 1
39 138 1
39 139 1
39 140 1
39 141 1
39 142 2
39 143 2
39 144 3
39 145 1
39 146 1
39 147 2
39 148 1
39 149 2
39 150 1
39 151 1
39 152 1
39 153 1
39 154 1
39 155 1
40 10 1
40 80 1
40 156 1
40 157 1
40 158 1
41 6 1
41 10 1
41 19 1
41 42 1
41 159 1
42 11 1
42 128 1
42 160 1
42 161 1
43 3 1
43 10 1
43 162 1
43 163 1
44 61 2
44 164 1
44 165 1
44 166 1
45 10 1
45 11 1
45 14 7
45 26 3
45 29 1
45 48 3
45 53 1
45 66 2
45 80 1
45 113 1
45 130 1
45 136 2
45 167 1
45 168 2
45 169 1
45 170 1
45 171 1
45 172 2
45 173 1
45 174 1
45 175 1
45 176 1
45 177 1
45 178 1
45 179 1
45 180 1
45 181 1
45 182 1
45 183 1
45 184 1
45 185 1
45 186 1
45 187 1
45 188 1
45 189 1
46 10 1
46 190 1
46 191 1
47 10 1
47 27 2
47 32 2
47 47 10
47 64 2
47 73 1
47 109 1
47 116 1
47 120 1
47 143 1
47 176 1
47 184 2
47 185 1
47 192 4
47 193 4
47 194 1
47 195 2
47 196 2
47 197 4
47 198 1
47 199 1
47 200 1
47 201 1
47 202 2
47 203 1
47 204 1
47 205 1
47 206 1
47 207 3
47 208 1
47 209 1
47 210 1
47 211 1
47 212 2
47 213 1
47 214 1
47 215 1
47 216 1
47 217 1
47 218 1
47 219 1
47 220 1
47 221 1
47 222 1
47 223 1
47 224 1
47 225 1
47 226 1
47 227 1
47 228 1
47 229 1
47 230 1
47 231 1
47 232 1
47 233 1
48 37 1
48 64 1
48 234 1
48 235 1
48 236 1
49 14 1
49 31 1
49 90 1
49 228 1
50 237 1
50 238 1
50 239 1
51 42 1
51 75 1
51 155 1
51 240 1
51 241 1
51 242 1
51 243 1
51 244 1
51 245 1
51 246 1
52 104 1
52 247 1
52 248 1
52 249 1
53 3 1
53 4 1
53 17 1
53 45 1
53 250 1
54 3 1
54 162 1
55 25 1
55 61 1
55 166 1
55 251 1
55 252 1
56 10 1
56 253 1
57 9 2
57 10 2
57 75 2
57 76 2
57 102 2
57 237 1
57 254 1
57 255 1
57 256 1
57 257 2
57 258 2
57 259 1
57 260 1
57 261 1
57 262 2
57 263 1
57 264 1
57 265 1
57 266 1
57 267 1
57 268 1
57 269 1
57 270 1
58 46 1
58 48 1
58 52 1
58 102 1
58 142 1
58 235 1
58 271 1
58 272 1
58 273 1
58 274 1
58 275 1
58 276 1
58 277 1
58 278 1
58 279 1
59 24 1
59 48 1
59 108 1
59 280 1
59 281 1
59 282 1
60 13 1
60 90 1
60 189 1
60 283 1
61 19 1
61 37 1
61 38 1
61 244 1
61 284 1
61 285 1
62 9 1
62 10 2
62 62 3
62 64 2
62 66 2
62 67 3
62 86 1
62 175 2
62 259 1
62 286 3
62 287 2
62 288 1
62 289 1
62 290 1
62 291 1
62 292 2
62 293 2
62 294 1
62 295 1
62 296 1
62 297 1
62 298 1
63 104 1
63 252 1
63 299 1
63 300 1
64 1 1
64 104 1
64 249 1
64 301 1
65 25 1
65 47 1
65 75 1
65 302 1
65 303 1
66 10 1
66 304 1
66 305 1
67 10 4
67 14 2
67 44 1
67 52 2
67 102 1
67 120 1
67 142 2
67 156 2
67 174 1
67 197 1
67 223 1
67 233 1
67 247 2
67 306 1
67 307 5
67 308 3
67 309 3
67 310 1
67 311 1
67 312 1
67 313 1
67 314 1
67 315 1
67 316 1
67 317 1
67 318 1
67 319 1
67 320 1
67 321 1
67 322 1
67 323 1
67 324 1
67 325 1
67 326 1
67 327 1
67 328 1
67 329 1
67 330 1
67 331 1
68 10 1
68 14 2
68 31 1
68 90 2
68 228 2
68 253 1
68 307 1
68 332 1
68 333 1
69 13 1
69 55 1
69 102 1
69 222 1
69 224 1
69 237 1
69 259 1
69 334 2
69 335 2
69 336 2
69 337 2
69 338 1
69 339 1
69 340 1
69 341 1
70 9 1
70 10 3
70 14 11
70 15 1
70 25 2
70 29 1
70 32 1
70 48 2
70 87 1
70 94 3
70 127 1
70 137 2
70 143 1
70 169 1
70 175 1
70 237 3
70 259 1
70 303 1
70 334 1
70 342 1
70 343 1
70 344 2
70 345 1
70 346 1
70 347 1
70 348 1
70 349 2
70 350 1
70 351 1
70 352 2
70 353 1
70 354 1
70 355 1
70 356 1
70 357 1
70 358 1
70 359 1
70 360 1
70 361 1
70 362 1
70 363 1
70 364 1
70 365 1
70 366 1
70 367 1
70 368 1
70 369 1
70 370 1
70 371 1
70 372 1
70 373 1
70 374 1
71 10 1
71 14 1
71 375 1
72 142 1
72 143 1
72 346 1
72 376 1
73 22 1
73 116 1
73 124 1
73 377 1
74 33 1
74 45 1
74 106 1
74 268 1
74 378 1
75 67 1
75 70 2
75 144 1
75 198 1
75 379 1
75 380 1
76 162 1
76 237 1
77 9 1
77 10 1
77 22 1
77 26 6
77 29 2
77 30 2
77 52 1
77 54 1
77 55 1
77 76 1
77 80 1
77 113 1
77 133 3
77 259 2
77 268 1
77 299 1
77 301 1
77 324 1
77 343 1
77 349 2
77 381 1
77 382 1
77 383 1
77 384 1
77 385 1
77 386 1
77 387 1
77 388 1
77 389 1
77 390 2
77 391 1
77 392 2
77 393 1
77 394 1
77 395 1
77 396 1
77 397 1
77 398 1
77 399 1
77 400 1
77 401 1
78 14 1
78 29 1
78 78 1
78 127 1
78 402 1
78 403 1
79 10 2
79 11 1
79 46 1
79 124 1
79 404 1
79 405 1
79 406 1
79 407 1
80 116 1
80 124 1
80 408 1
81 2 1
81 4 2
81 10 1
81 42 1
81 160 1
81 165 1
81 169 1
81 174 1
81 217 1
81 252 3
81 260 1
81 409 2
81 410 2
81 411 1
82 10 1
82 191 1
82 225 1
82 253 1
82 412 1
83 31 1
83 46 1
83 48 1
83 52 1
83 102 1
83 142 1
83 235 1
83 271 1
83 272 1
83 273 1
83 274 1
83 275 1
83 276 1
83 277 1
83 278 1
84 32 1
84 43 1
84 242 1
84 413 1
84 414 1
85 46 1
85 48 1
85 52 1
85 102 1
85 142 1
85 235 1
85 271 1
85 272 1
85 273 1
85 274 1
85 275 1
85 276 1
85 277 1
85 278 1
86 42 1
86 75 1
86 80 1
86 240 1
86 242 1
86 244 1
86 245 1
87 42 1
87 75 1
87 155 1
87 240 1
87 241 1
87 242 1
87 243 1
87 244 1
87 245 1
88 30 1
88 55 1
88 105 1
88 108 1
88 224 1
88 285 1
88 339 1
88 415 1
89 10 1
89 43 1
89 67 1
89 91 1
89 206 1
89 416 1
89 417 1
89 418 1
90 22 1
90 29 1
90 159 1
90 390 1
91 10 1
91 14 2
91 22 1
91 44 1
91 48 2
91 69 1
91 163 1
91 169 1
91 201 1
91 288 1
91 299 1
91 311 1
91 370 1
91 375 1
91 398 2
91 419 1
91 420 1
91 421 1
91 422 1
91 423 1
91 424 1
91 425 1
91 426 2
91 427 2
91 428 1
91 429 1
91 430 1
91 431 1
91 432 1
91 433 1
91 434 1
91 435 1
92 3 1
92 4 1
92 10 3
92 11 1
92 45 1
92 47 1
92 127 1
92 162 1
92 410 1
92 436 2
92 437 1
92 438 1
93 19 1
93 37 2
93 38 2
93 42 2
93 51 2
93 224 1
93 242 1
93 244 1
93 334 1
93 439 2
94 10 1
94 22 1
94 23 1
94 30 2
94 42 1
94 45 1
94 54 1
94 55 4
94 69 7
94 75 1
94 77 1
94 78 1
94 133 1
94 134 1
94 136 1
94 142 1
94 298 1
94 334 2
94 340 1
94 382 1
94 383 3
94 386 1
94 390 1
94 396 2
94 440 2
94 441 1
94 442 1
94 443 1
94 444 1
94 445 1
94 446 2
94 447 1
94 448 1
95 10 3
95 29 1
95 42 1
95 55 3
95 64 1
95 69 1
95 75 1
95 83 1
95 90 1
95 298 1
95 320 1
95 321 3
95 383 1
95 386 1
95 449 2
95 450 1
95 451 1
95 452 1
95 453 1
95 454 2
95 455 1
95 456 1
95 457 1
95 458 1
95 459 1
95 460 1
95 461 1
95 462 1
95 463 1
96 9 1
96 10 1
96 14 1
96 46 1
96 102 1
96 156 1
96 464 1
96 465 1
97 43 1
97 46 1
97 47 1
97 48 1
97 90 1
97 162 1
97 189 1
97 466 1
98 2 1
98 3 1
98 4 1
98 40 1
99 36 1
99 96 1
99 189 1
99 265 1
99 467 1
99 468 1
100 47 1
100 469 1
100 470 1
101 14 1
101 42 1
101 471 1
102 10 3
102 14 3
102 44 5
102 52 1
102 90 1
102 102 2
102 130 1
102 143 1
102 164 1
102 232 1
102 260 3
102 268 1
102 283 1
102 292 1
102 298 1
102 335 1
102 350 1
102 422 1
102 472 2
102 473 2
102 474 2
102 475 1
102 476 1
102 477 1
102 478 1
102 479 1
102 480 2
102 481 1
102 482 1
102 483 1
102 484 1
102 485 1
102 486 1
102 487 1
102 488 1
102 489 1
102 490 1
102 491 1
103 9 2
103 10 1
103 11 1
103 14 2
103 22 1
103 26 2
103 48 3
103 52 1
103 53 2
103 56 1
103 59 1
103 61 3
103 99 4
103 160 1
103 259 1
103 275 2
103 301 1
103 310 1
103 342 1
103 355 1
103 371 1
103 378 1
103 416 2
103 427 1
103 492 1
103 493 1
103 494 1
103 495 1
103 496 1
103 497 1
103 498 1
103 499 1
103 500 1
103 501 1
103 502 1
103 503 1
103 504 1
103 505 1
103 506 1
103 507 1
103 508 1
103 509 1
103 510 1
103 511 1
103 512 1
103 513 1
104 42 1
104 90 1
104 206 1
104 340 1
105 10 2
105 15 1
105 26 2
105 30 1
105 31 1
105 42 3
105 75 1
105 126 1
105 142 1
105 145 1
105 155 1
105 174 1
105 186 1
105 207 2
105 221 2
105 222 1
105 259 1
105 355 1
105 434 1
105 438 1
105 468 5
105 514 5
105 515 1
105 516 1
105 517 1
105 518 1
105 519 1
105 520 1
105 521 1
105 522 1
105 523 1
105 524 1
105 525 1
105 526 1
105 527 1
106 43 1
106 379 1
106 515 1
107 14 1
107 32 1
107 203 1
107 528 1
107 529 1
108 20 1
108 80 1
109 93 1
110 6 1
110 10 1
110 11 2
110 14 1
110 22 1
110 30 1
110 41 1
110 50 1
110 51 1
110 54 2
110 55 2
110 59 1
110 64 1
110 116 1
110 174 1
110 201 1
110 247 2
110 285 2
110 338 1
110 340 1
110 345 1
110 346 1
110 351 1
110 396 3
110 437 1
110 530 1
110 531 1
110 532 1
110 533 1
110 534 1
110 535 1
110 536 1
110 537 1
110 538 1
110 539 1
111 30 1
111 55 1
111 85 1
111 285 1
111 396 1
112 47 1
112 112 1
112 271 1
112 303 1
113 47 1
113 271 1
113 302 1
113 540 1
114 507 1
114 541 1
115 27 1
115 76 1
115 78 1
115 149 1
115 174 1
115 271 1
115 295 1
115 390 1
115 398 2
115 525 2
115 542 1
115 543 1
115 544 1
115 545 1
115 546 1
115 547 1
115 548 1
115 549 1
115 550 1
115 551 1
115 552 1
115 553 1
115 554 1
116 2 1
116 33 1
116 42 1
116 377 1
116 450 1
116 555 1
117 90 1
117 303 1
117 556 1
118 10 1
118 80 1
118 341 1
119 11 1
119 45 1
119 47 1
119 55 1
119 383 1
120 10 1
120 275 1
120 557 1
121 19 1
121 38 1
121 242 1
121 245 1
121 533 1
121 558 1
122 4 1
122 10 2
122 14 1
122 29 1
122 47 1
122 75 2
122 102 1
122 104 1
122 131 1
122 140 1
122 142 1
122 189 4
122 266 1
122 275 1
122 298 1
122 559 3
122 560 1
122 561 1
122 562 1
122 563 1
122 564 1
122 565 1
122 566 2
122 567 1
122 568 1
122 569 1
122 570 1
122 571 1
123 9 1
123 10 1
123 26 3
123 30 2
123 47 1
123 53 1
123 60 1
123 81 1
123 85 2
123 104 1
123 143 1
123 155 1
123 174 1
123 256 1
123 301 1
123 308 1
123 478 1
123 560 1
123 572 2
123 573 1
123 574 1
124 24 1
124 85 1
124 285 1
125 19 1
125 38 1
125 85 1
125 285 1
125 575 1
126 85 1
126 572 1
127 85 1
127 279 1
127 576 1
128 85 1
128 576 1
129 69 1
129 85 1
129 215 1
129 346 1
129 577 1
130 30 1
130 55 1
130 85 1
130 108 1
130 578 1
130 579 1
131 85 1
131 377 1
131 580 1
132 69 1
132 83 1
132 85 1
132 581 1
132 582 1
133 69 1
133 83 1
133 85 1
133 200 1
133 334 1
133 583 1
134 9 1
134 10 1
134 307 1
135 78 1
135 80 1
135 584 1
136 113 1
136 206 1
136 454 1
136 585 1
136 586 1
136 587 1
137 25 1
137 303 1
137 334 1
137 588 1
137 589 1
138 85 1
138 415 1
138 590 1
139 85 1
139 591 1
139 592 1
140 52 1
140 172 1
140 588 1
141 11 1
141 526 1
141 593 1
142 10 1
142 14 1
142 48 1
142 90 1
142 468 1
142 565 1
143 4 1
143 9 1
143 10 1
143 15 1
143 20 1
143 27 1
143 42 1
143 45 1
143 47 2
143 48 2
143 67 1
143 109 2
143 112 2
143 113 1
143 136 1
143 143 1
143 146 1
143 162 1
143 165 1
143 174 3
143 184 1
143 186 1
143 206 3
143 303 4
143 311 1
143 318 1
143 322 1
143 334 1
143 396 2
143 452 1
143 500 1
143 523 1
143 587 1
143 594 1
143 595 1
143 596 1
143 597 2
143 598 1
143 599 1
143 600 1
143 601 1
143 602 1
143 603 3
143 604 1
143 605 1
143 606 1
143 607 1
143 608 1
143 609 1
143 610 1
143 611 1
144 14 1
144 46 1
144 612 1
144 613 1
145 1 1
145 10 3
145 17 3
145 53 1
145 114 1
145 128 1
145 143 1
145 249 2
145 307 1
145 375 1
145 401 1
145 441 1
145 479 1
145 528 2
145 614 1
145 615 1
145 616 1
145 617 1
145 618 1
145 619 1
145 620 1
145 621 2
145 622 2
145 623 1
145 624 1
145 625 1
145 626 1
146 1 1
146 10 1
146 253 1
146 307 1
146 621 1
146 627 1
147 9 1
147 10 1
147 279 1
147 307 1
148 14 1
148 26 1
148 72 1
148 85 1
148 108 1
148 387 1
148 427 1
148 530 1
148 555 1
148 628 1
149 56 1
149 85 1
149 380 1
149 629 1
149 630 1
150 85 1
151 85 1
151 591 1
151 592 1
152 466 1
152 593 1
152 631 1
153 50 1
153 454 1
153 585 1
153 632 1
154 265 1
154 633 1
155 26 1
155 252 1
155 300 1
155 316 1
155 634 1
156 9 1
156 10 1
156 307 1
157 85 1
157 576 1
158 85 1
158 576 1
159 85 1
159 576 1
160 206 1
160 246 1
160 429 1
160 635 1
161 11 1
161 526 1
161 636 1
162 90 1
162 526 1
163 310 1
163 555 1
163 637 1
163 638 1
164 104 1
164 559 1
164 639 1
165 9 1
165 10 1
165 14 1
165 308 1
165 312 1
165 640 1
165 641 1
166 74 1
166 87 1
166 104 1
166 184 1
166 413 1
166 642 1
167 31 1
167 85 1
167 167 1
167 282 1
167 643 2
167 644 1
168 18 1
168 528 1
168 645 1
169 25 1
169 303 1
169 334 1
169 588 1
169 589 1
170 9 1
170 10 1
170 31 1
170 307 1
171 85 1
171 321 1
171 447 1
171 475 1
172 10 1
172 137 1
172 175 1
172 287 1
172 646 1
173 33 1
173 52 1
173 143 2
173 197 1
173 647 1
173 648 1
173 649 1
174 9 1
174 10 1
174 30 1
174 55 1
174 75 1
174 76 1
174 105 1
174 382 1
174 383 1
175 246 1
175 252 1
175 300 1
175 468 1
175 650 1
176 27 1
176 30 1
176 42 1
176 55 1
176 85 1
176 285 1
176 531 1
176 651 1
176 652 1
176 653 1
177 85 1
177 576 1
178 36 1
178 85 1
178 285 1
178 454 1
178 654 1
179 36 1
179 85 1
179 285 1
179 454 1
180 36 1
180 85 1
180 285 1
180 454 1
180 655 1
181 36 1
181 85 1
181 285 1
181 454 1
181 656 1
182 112 1
182 144 1
182 242 1
182 414 1
183 19 1
183 32 1
183 42 1
183 132 1
183 459 1
183 637 1
183 657 1
184 10 1
184 14 1
184 29 1
184 31 1
184 52 1
184 64 1
184 85 2
184 105 1
184 137 1
184 143 1
184 150 1
184 167 1
184 173 1
184 178 1
184 179 2
184 200 1
184 237 1
184 282 1
184 337 1
184 339 1
184 347 1
184 385 1
184 527 1
184 535 1
184 567 1
184 601 1
184 613 1
184 643 5
184 644 1
184 658 1
184 659 1
184 660 1
184 661 1
184 662 1
184 663 2
184 664 1
184 665 1
184 666 1
184 667 1
184 668 1
184 669 1
184 670 1
184 671 1
184 672 1
184 673 1
184 674 1
184 675 1
185 85 1
185 87 1
185 104 1
185 572 1
185 676 1
185 677 1
186 189 1
186 678 1
187 10 1
187 12 1
187 197 1
187 307 1
187 390 1
187 679 1
188 9 1
188 10 1
188 46 1
188 435 1
189 48 1
189 680 1
190 206 1
190 429 1
190 635 1
191 10 1
191 11 1
191 67 1
191 526 1
192 46 1
192 355 1
192 572 1
192 681 1
193 6 1
193 10 1
193 19 2
193 630 1
194 47 1
195 1 1
195 4 1
195 85 1
195 104 1
196 48 1
196 113 1
196 682 1
197 9 1
197 10 1
197 52 1
197 116 1
197 124 1
197 515 1
198 85 2
199 69 1
199 83 1
199 85 1
199 683 1
199 684 1
200 83 1
200 85 1
200 459 1
200 684 1
201 10 1
201 14 2
201 42 1
201 44 1
201 45 1
201 48 4
201 66 1
201 74 1
201 77 1
201 113 1
201 128 1
201 129 1
201 142 1
201 221 2
201 259 2
201 275 1
201 321 1
201 350 1
201 371 1
201 431 1
201 685 1
201 686 1
201 687 1
201 688 2
201 689 3
201 690 1
201 691 1
201 692 1
201 693 1
201 694 1
201 695 1
202 143 1
202 184 1
202 583 1
202 696 1
203 665 1
203 697 1
203 698 1
203 699 1
204 4 2
204 69 1
204 75 1
204 128 1
204 132 1
204 161 1
204 189 3
204 237 1
204 255 1
204 301 2
204 311 1
204 334 1
204 347 1
204 431 1
204 570 1
204 638 1
204 664 1
204 700 1
204 701 1
204 702 1
204 703 1
204 704 1
204 705 1
205 252 1
205 300 1
206 104 1
206 706 1
206 707 1
206 708 1
207 4 1
207 52 1
207 658 1
207 709 1
208 252 1
208 300 1
208 468 1
208 650 1
209 10 1
209 29 1
209 31 1
209 36 1
209 69 1
209 585 1
209 710 1
210 61 1
210 166 1
210 248 1
210 251 1
210 252 1
211 85 1
211 339 1
211 711 1
212 24 1
212 340 1
212 396 1
212 712 1
213 85 1
213 87 1
213 104 1
213 572 1
213 676 1
214 44 1
214 128 1
214 179 1
214 713 1
214 714 1
214 715 1
215 80 1
215 113 1
215 144 1
216 10 1
216 225 1
216 716 1
217 10 1
217 344 1
217 717 1
217 718 1
218 26 1
218 719 1
219 6 1
219 10 1
219 19 1
219 42 1
219 159 1
220 283 1
220 351 1
220 557 1
220 720 1
221 2 1
221 10 1
221 47 2
221 174 1
221 222 1
221 242 1
221 252 2
221 574 1
221 598 1
221 644 1
221 709 1
221 721 1
221 722 1
221 723 1
221 724 1
221 725 1
221 726 1
222 14 1
223 4 2
223 13 1
223 14 1
223 29 1
223 36 1
223 45 1
223 52 1
223 78 1
223 85 2
223 87 1
223 104 1
223 127 1
223 143 1
223 162 2
223 169 1
223 195 1
223 197 2
223 252 1
223 258 1
223 275 1
223 333 1
223 385 2
223 436 1
223 507 1
223 530 1
223 664 1
223 692 1
223 715 1
223 726 1
223 727 2
223 728 2
223 729 1
223 730 1
223 731 1
223 732 1
223 733 1
224 128 1
224 160 1
224 161 1
224 246 1
225 30 1
225 42 1
225 55 1
225 85 1
225 285 1
225 531 1
225 651 1
226 85 1
226 576 1
227 85 1
228 18 1
228 25 1
229 25 1
229 47 1
229 303 1
229 640 1
230 25 1
230 251 1
230 334 1
230 652 1
230 734 1
231 22 1
231 116 1
231 124 1
231 377 1
232 47 1
232 151 1
232 469 1
232 470 1
232 735 1
233 14 1
233 90 1
233 701 1
234 736 1
235 10 2
235 46 1
235 156 1
235 191 1
235 225 3
235 275 1
235 311 1
235 331 1
235 412 1
235 488 1
235 490 1
235 620 1
235 679 1
235 716 1
235 737 2
235 738 1
235 739 1
235 740 1
235 741 1
235 742 1
236 10 1
236 743 1
236 744 1
237 48 1
237 99 1
237 413 1
237 745 1
238 48 1
238 69 1
238 709 1
238 746 1
238 747 1
238 748 1
239 52 1
239 91 1
239 257 1
239 283 1
239 685 1
239 749 1
240 7 1
240 10 1
240 29 2
240 42 3
240 64 1
240 78 2
240 113 1
240 123 1
240 136 1
240 143 1
240 151 2
240 174 1
240 176 1
240 220 3
240 241 4
240 265 2
240 338 1
240 421 1
240 515 1
240 525 2
240 726 1
240 750 3
240 751 1
240 752 1
240 753 1
240 754 1
240 755 1
240 756 1
241 9 2
241 10 1
241 42 1
241 48 1
241 74 2
241 80 2
241 151 1
241 159 1
241 163 1
241 221 1
241 311 1
241 370 1
241 499 1
241 515 1
241 538 1
241 757 2
241 758 2
241 759 1
241 760 1
242 32 4
242 47 8
242 48 1
242 52 1
242 53 2
242 67 1
242 74 2
242 76 1
242 102 1
242 109 1
242 118 1
242 130 1
242 131 1
242 132 1
242 203 4
242 205 3
242 244 4
242 259 2
242 301 1
242 350 1
242 454 2
242 479 1
242 512 1
242 515 2
242 560 1
242 579 1
242 641 2
242 752 1
242 761 4
242 762 2
242 763 2
242 764 1
242 765 1
242 766 2
242 767 1
242 768 2
242 769 1
242 770 4
242 771 1
242 772 2
242 773 1
242 774 1
242 775 1
242 776 1
242 777 1
242 778 1
242 779 1
243 85 1
243 321 1
243 780 1
243 781 1
244 85 1
244 285 1
244 334 1
244 582 1
244 654 1
244 782 1
245 19 1
245 38 1
245 85 1
245 285 1
245 575 1
246 85 1
246 321 1
246 780 1
246 781 1
247 14 3
247 53 4
247 80 1
247 107 1
247 230 1
247 249 1
247 390 3
247 441 1
247 484 1
247 584 1
247 652 2
247 731 1
247 783 2
247 784 3
247 785 1
247 786 1
247 787 1
247 788 1
247 789 1
247 790 1
247 791 1
247 792 1
247 793 1
248 4 2
248 403 1
248 409 1
248 489 1
248 794 1
249 17 1
249 64 1
249 66 1
249 89 1
249 541 1
250 9 1
250 10 2
250 14 1
250 48 1
250 75 1
250 78 1
250 96 1
250 131 1
250 136 1
250 142 1
250 174 1
250 175 2
250 259 1
250 275 1
250 499 1
250 535 1
250 762 1
250 775 1
250 795 2
250 796 1
250 797 2
250 798 1
250 799 1
250 800 1
251 10 4
251 14 4
251 42 2
251 44 1
251 48 3
251 52 2
251 74 1
251 118 1
251 136 1
251 140 1
251 142 1
251 184 1
251 221 1
251 259 1
251 321 1
251 350 1
251 351 1
251 441 1
251 460 1
251 505 1
251 534 1
251 630 1
251 801 3
251 802 1
251 803 1
251 804 1
251 805 1
251 806 1
251 807 1
251 808 1
252 14 1
252 85 1
252 176 1
252 475 1
252 735 1
252 809 1
252 810 1
253 0 1
253 1 1
253 4 2
253 10 3
253 25 1
253 95 1
253 104 2
253 174 1
253 189 1
253 230 1
253 247 1
253 251 1
253 255 2
253 256 1
253 460 1
253 566 1
253 584 1
253 585 1
253 595 1
253 611 1
253 621 2
253 631 1
253 652 1
253 671 1
253 676 1
253 808 1
253 811 1
253 812 1
253 813 2
253 814 1
253 815 1
253 816 2
254 85 1
254 708 1
255 85 1
255 334 1
255 335 1
255 336 1
256 85 1
256 817 1
257 75 1
257 85 1
257 818 1
258 85 1
258 819 1
259 85 1
259 629 1
260 283 1
260 820 1
261 821 1
262 339 1
262 479 1
262 513 1
262 687 1
262 822 1
263 75 1
263 85 1
263 823 1
263 824 1
264 4 2
264 14 1
264 43 2
264 47 2
264 77 2
264 140 1
264 141 1
264 205 1
264 219 1
264 221 1
264 252 1
264 259 1
264 284 1
264 300 2
264 303 1
264 334 1
264 379 1
264 441 1
264 443 1
264 466 2
264 710 1
264 805 1
264 825 1
264 826 1
264 827 1
265 19 1
265 38 1
265 42 1
265 245 1
266 25 1
266 72 1
266 104 1
266 555 1
267 355 1
267 454 1
267 828 1
267 829 1
267 830 1
268 220 1
268 560 1
268 830 1
268 831 1
269 11 1
269 85 1
269 355 1
269 830 1
270 46 1
270 48 1
270 143 1
270 355 1
270 687 1
270 830 1
270 832 1
271 14 2
271 15 2
271 29 1
271 104 2
271 128 1
271 142 1
271 143 1
271 223 1
271 226 2
271 233 1
271 257 1
271 275 1
271 339 1
271 355 3
271 411 1
271 517 2
271 567 1
271 685 1
271 709 1
271 830 2
271 831 1
271 833 1
271 834 1
271 835 1
272 46 1
272 355 1
272 478 1
272 830 1
273 10 1
273 46 1
273 289 1
273 355 1
273 517 1
273 646 1
273 695 1
273 830 1
273 836 1
274 48 1
274 355 1
274 709 1
274 748 1
274 830 1
274 836 1
275 10 1
275 11 1
275 14 2
275 31 1
275 44 1
275 48 1
275 64 1
275 174 1
275 175 1
275 259 1
275 314 1
275 324 1
275 355 1
275 381 1
275 419 1
275 490 1
275 504 1
275 528 1
275 778 1
275 802 1
275 830 2
275 831 1
275 836 1
275 837 1
275 838 1
275 839 2
275 840 2
275 841 1
276 26 1
276 48 1
276 167 1
276 355 1
276 830 1
276 842 1
277 2 1
277 10 3
277 14 5
277 52 3
277 53 1
277 60 1
277 75 3
277 103 1
277 127 2
277 131 1
277 133 1
277 142 1
277 143 1
277 179 1
277 210 1
277 334 4
277 346 1
277 355 5
277 370 1
277 399 1
277 421 1
277 441 1
277 450 1
277 489 1
277 512 1
